title,price_gbp,rating
Join,35.67,5
Rip it Up and Start Again,35.02,5
Black Dust,34.53,5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5
Chase Me (Paris Nights #2),25.27,5
The Elephant Tree,23.82,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
The Nameless City (The Nameless City #1),38.16,4
The Dirty Little Secrets of Getting Your Dream Job,33.34,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
In the Country We Love: My Family Divided,22.0,4
Shakespeare's Sonnets,20.66,4
