book_id,title,price_gbp,price_inr,rating,in_stock,category_name
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5686.45,2,1,Add a comment
89,On a Midnight Clear,14.07,1484.38,3,1,Add a comment
71,The Art Forger,40.76,4300.18,3,1,Add a comment
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,2520.4,4,1,Add a comment
56,The Torch Is Passed: A Harding Family Story,19.09,2014.0,1,1,Add a comment
30,Wall and Piece,44.18,4660.99,4,1,Art
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,3517.37,4,1,Business
26,Birdsong: A Story in Pictures,54.64,5764.52,3,1,Childrens
34,The Bear and the Piano,36.89,3891.9,1,1,Childrens
57,The Secret of Dreadwillow Carse,56.13,5921.72,1,1,Childrens
46,When We Collided,31.77,3351.74,1,1,Contemporary
28,Aladdin and His Wonderful Lamp,53.13,5605.22,3,1,Default
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2373.75,3,1,Default
37,Maude (1883-1993):She Grew Up with the country,18.02,1901.11,2,1,Default
36,Penny Maybe,33.29,3512.1,3,1,Default
75,Soul Reader,39.58,4175.69,2,1,Default
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1475.94,2,1,Default
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2384.3,4,1,Default
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1891.62,3,1,Default
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.24,5,1,Default
92,Masks and Shadows,56.4,5950.2,2,1,Fantasy
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,1,Fantasy
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,2639.61,3,1,Fantasy
50,Unicorn Tracks,18.78,1981.29,3,1,Fantasy
43,Private Paris (Private #10),47.61,5022.85,5,1,Fiction
3,Soumission,50.1,5285.55,1,1,Fiction
62,The Murder That Never Was (Forensic Instincts #5),54.11,5708.6,3,1,Fiction
55,Thirst,17.27,1821.98,5,1,Fiction
47,"We Love You, Charlie Freeman",50.27,5303.48,5,1,Fiction
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3219.86,3,1,Food and Drink
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,4231.6,1,1,Food and Drink
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,1479.11,4,1,Food and Drink
91,My Paris Kitchen: Recipes and Stories,33.37,3520.54,2,1,Food and Drink
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5951.25,1,1,Food and Drink
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,5174.77,3,1,Health
2,Tipping the Velvet,53.74,5669.57,1,1,Historical Fiction
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,3827.54,2,1,History
5,Sapiens: A Brief History of Humankind,54.23,5721.26,5,1,History
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,2081.52,1,1,History
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,2692.36,1,1,History
76,Security,39.25,4140.88,2,1,Horror
22,How Music Works,37.32,3937.26,2,1,Music
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.88,3,1,Music
15,Rip it Up and Start Again,35.02,3694.61,5,1,Music
38,"In a Dark, Dark Wood",19.63,2070.96,1,1,Mystery
4,Sharp Objects,47.82,5045.01,4,1,Mystery
59,The Past Never Ends,56.5,5960.75,4,1,Mystery
